176,4593621,X030521753,HQ797 .P37 2007,CLEMONS,"masculinity and sexuality in high school / Dude, you're a fag :","Pascoe, C. J.,",2007,1/29/09,4/26/18,0,41,27,1,2 3,FALSE,209,1,0
195,4455991,X004834766,HQ1148 .I46 2007,ALDERMAN,The impact of feminism in English Renaissance studies /,,2007,1/18/07,5/13/13,0,62,11,1,2,FALSE,229,1,0
227,4598536,X004832663,HQ796 .C8218 2007,ALDERMAN,Social networks in youth and adolescence /,"Cotterell, John,",2007,6/13/07,3/6/15,1,51,0,1,2,FALSE,265,1,0
266,4646636,X030262471,HQ76.25 .L68 2007,ALDERMAN,Feeling backward : loss and the politics of queer history /,"Love, Heather.",2007,11/6/07,9/23/18,4,35,11,1,2,FALSE,309,1,0
308,4473453,X030111666,HQ1438 .S63 J33 2007,ALDERMAN,Scarlett's sisters : young women in the Old South /,"Jabour, Anya.",2007,3/13/07,10/26/17,0,38,11,1,2,FALSE,355,1,0
339,4606353,X004832799,HQ1075 .B73 2007,ALDERMAN,Gender /,"Bradley, Harriet.",2007,7/6/07,5/2/15,1,45,2,1,2,FALSE,386,1,0
415,4634445,X030254875,HQ784 .T4 G83 2007,ALDERMAN,Into the minds of babes : how screen time affects children from birth to age five /,"Guernsey, Lisa.",2007,10/2/07,8/8/16,1,47,58,2,2 3,TRUE,453,1,0
584,4676543,X030256275,HQ76.25 .P83 2007,ALDERMAN,homonationalism in queer times / Terrorist assemblages :,"Puar, Jasbir K.,",2007,1/3/08,9/9/18,9,29,10,1,2,FALSE,619,1,0
651,4683355,X030251575,HQ16 .L68 2007,ALDERMAN,transformations of intimacy in the contemporary world / Love and globalization :,,2007,1/29/08,9/21/18,0,28,3,1,2,FALSE,683,1,0
767,4608283,X030261125,HQ1178 .R39 2007,ALDERMAN,"hookups, downloads, and cashing in on Internet sexploration / Naked on the Internet :","Ray, Audacia.",2007,7/17/07,11/14/11,3,52,0,1,2,FALSE,801,1,0
872,4671536,X030255575,HQ1147 .G7 H36 2007,ALDERMAN,"The wealth of wives : women, law, and economy in late medieval London /","Hanawalt, Barbara A.,",2007,12/4/07,10/1/18,0,26,1,1,2,FALSE,909,1,0
905,4457874,X030165139,HQ1599 .E5 M37 2007,ALDERMAN,"Between women : friendship, desire, and marriage in Victorian England /","Marcus, Sharon,",2007,1/24/07,10/1/18,8,28,13,1,2,FALSE,942,1,0
1026,4594478,X030103555,HQ784 .M3 C66 2007,ALDERMAN,Media and the American child /,"(George A.) Comstock, George",2007,5/29/07,7/26/17,0,30,1,1,2,TRUE,1064,1,0
1084,4799349,X030476690,HQ471 .J47 2007,ALDERMAN,Getting off : pornography and the end of masculinity /,"Jensen, Robert,",2007,12/1/08,4/11/18,2,23,11,1,2,FALSE,1125,1,0
1126,4712479,X030277536,HQ281 .A73 2007,ALDERMAN,politics out of security / Rethinking trafficking in women :,"Aradau, Claudia,",2007,4/22/08,5/2/18,6,24,2,1,2,FALSE,1167,1,0
1172,4608282,X030261118,HQ1418 .W56 2007,ALDERMAN,"American women and the classical tradition, 1750-1900 / The mirror of antiquity :","Winterer, Caroline,",2007,7/17/07,6/27/18,3,25,8,1,2 4,FALSE,1214,1,0
1195,4606367,X004832814,HQ16 .A18 2007,ALDERMAN,"contemporary issues in health, education, and rights / 21st century sexualities :",,2007,7/6/07,12/13/12,1,44,0,1,2,FALSE,1237,1,0
1279,4677828,X030256708,HQ1190 .I58 2007,ALDERMAN,gender and the politics of popular culture / Interrogating postfeminism :,,2007,1/8/08,5/13/18,4,23,14,1,2,FALSE,1324,1,0
1473,4608089,X030273596,HQ77.9 .S47 2007,ALDERMAN,Whipping girl : a transsexual woman on sexism and the scapegoating of femininity /,"Serano, Julia.",2007,7/16/07,10/3/18,3,21,4,1,2,FALSE,1528,1,0
1488,4455383,X030111359,HQ536 .A538 2007,ALDERMAN,Alone together : how marriage in America is changing /,,2007,1/16/07,10/25/18,6,33,2,2,2 3,FALSE,1541,1,0
1491,4508645,X030112599,HQ615 .N45 2007,ALDERMAN,Family ties in Victorian England /,"Nelson, Claudia.",2007,4/13/07,5/2/18,0,23,8,1,2,FALSE,1544,1,0
1557,4646648,X030262462,HQ1381 .U57 2007,ALDERMAN,"markets, gender, and work / Unpacking globalization :",,2007,11/6/07,5/31/17,1,24,12,1,2,FALSE,1616,1,0
1558,4605765,X030103415,HQ471 .S62 2007,ALDERMAN,the pleasures and practices of reading women's porn / One for the girls! :,"Smith, Clarissa.",2007,7/3/07,3/23/14,2,36,0,1,2,FALSE,1617,1,0
1641,4510503,X004832383,HQ801.82 .O55 2007,ALDERMAN,Online matchmaking /,,2007,4/19/07,10/4/18,3,20,3,1,2,FALSE,1705,1,0
1693,4467170,X030106561,HQ76.3 .A356 H63 2007,ALDERMAN,"African intimacies : race, homosexuality, and globalization /","Hoad, Neville Wallace,",2007,2/13/07,9/22/18,0,20,19,1,2,FALSE,1759,1,0
1720,4679202,X030257072,HQ77.7 .V35 2007,ALDERMAN,Imagining transgender : an ethnography of a category /,"Valentine, David,",2007,1/15/08,10/29/18,4,17,5,1,2,FALSE,1786,1,0
